,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Specialist Enchants,,,,,,,,,Protection,,,,,,Health,,,,,,Speed,,,,Armor Attribrutes,,,,,,,,,Weapon Base Stats,,,,,,Durability,,,,Melee Enchants,,,,,,,,,,,,,,Ranged Enchants,,,,,,,,,,,Tool Enchants,,,,,,,,,Water,,,,,,Misc.,,,,,,,,,,,,,Curses,,,,Epic Enchants,,,,,Indexing,,,,,Stored Values,
,Boomwoven Vines,Valley,Rare,Leggings,Leather Leggings,Orange,,2.5,,Blast Prot. 6,,,,,Unbreaking 5,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6,,,,11,6
,Boots of Vitality,Valley,Rare,Boots,Leather Boots,Orange,1,,,,+4 Max Health,,,,Unbreaking 5,,,,,,,,,,,,,,,,,,,,,,,,,+4,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6,20,,,11,6
,Broodhide Tunic,Valley,Rare,Chestplate,Leather Chestplate,Orange,,,,"Melee Prot. 3
Blast Prot. 1",+2 Max Health,,,,Unbreaking 3,,,,,,,,,,,,,,,,,,,3,,,1,,,+2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6,10,,,11,6
,Cultist's Scowl,Valley,Rare,Helmet,Player Head,Orange,,3,,,,,+15% Attack Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6,,,,11,6
,Lunatic's Dance,Valley,Rare,Boots,Leather Boots,Orange,,2.5,Tempo 1,Blast Prot. 1,,,,,Unbreaking 3,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6,,,,11,6
,Lunatic's Robe,Valley,Rare,Chestplate,Leather Chestplate,Orange,,3.5,,,,+10% Speed,,,Mending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+10%,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6,,+10%,,11,6
,Purified Claw,Valley,Rare,Offhand Sword,Stone Sword,Orange,,2,,Melee Prot. 1,,,+20% Attack Damage,,Unbreakable,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,+20%,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6,,,,11,6
,Shapeshifter's Gauntlet,Valley,Rare,Offhand,Leather,Orange,1,,Inure 1,,,,+15% Attack Damage,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,+15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6,,,,11,6
,The Ravager,Valley,Rare,Axe,Stone Axe,Orange,,,,,,,,"10.0 Attack Damage
1.0 Attack Speed",Unbreaking 4,Knockback 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,,,,4,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6,,,,11,6
,Wildthrasher,Valley,Rare,Mainhand Sword,Stone Sword,Orange,,,,,,,,"6.5 Attack Damage
1.6 Attack Speed",Unbreaking 3,Fire Aspect 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,1.6,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6,,,,11,6
,Albino Spider Egg,Valley,Uncommon,Throwable,Snowball,Orange,,,,,,,,"10.0 Proj Damage
0.5 Proj Speed
0.5 Throw Rate",,,Fire Aspect 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,,,7,6
,Fur Boots,Valley,Uncommon,Boots,Leather Boots,Orange,,2.5,,,,,+2.5 Knockback Res.,,Unbreaking 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+2.5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,,,7,6
,Fur Cap,Valley,Uncommon,Helmet,Leather Helmet,Orange,,2.5,,,,,+2.5 Knockback Res.,,Unbreaking 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+2.5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,,,7,6
,Fur Leggings,Valley,Uncommon,Leggings,Leather Leggings,Orange,,2.5,,,,,+2.5 Knockback Res.,,Unbreaking 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+2.5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,,,7,6
,Fur Tunic,Valley,Uncommon,Chestplate,Leather Chestplate,Orange,,2.5,,,,,+2.5 Knockback Res.,,Unbreaking 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+2.5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,,,7,6
,Hide Shield,Valley,Uncommon,Mainhand,Shield,Orange,,,,,,+10% Speed,+2.0 Knockback Res.,,Unbreaking 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+10%,,,,,,,,,+2.0,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,+10%,,7,6
,Ancient Robes,Valley,Rare,Leggings,Leather Leggings,White,2.5,,,Fire Prot. 1,+2 Max Health,,,,Unbreaking 3,,,,,,,,,,,,,,,,,,,,,,,1,,+2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,10,,,11,5
,Ashfloe Chisel,Valley,Rare,Pickaxe,Wooden Pickaxe,White,,,,Fire Prot. 3,,,,"2.0 Attack Damage
1.2 Attack Speed",Unbreaking 1,,,"Efficiency 3
Fortune 5",,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,2.0,1.2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,,,,11,5
,Ashheart Dagger,Valley,Rare,Mainhand Sword,Stone Sword,White,2,,,Fire Prot. 2,,,,"5.0 Attack Damage
1.6 Attack Speed",Unbreaking 3,"Fire Aspect 4
Sweeping Edge 2",,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,5.0,1.6,,,,3,,,,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,,,,11,5
,C'zanil's Charm,Valley,Rare,Offhand,Bone,White,,,,"Fire Prot. 1
Feather Falling 1","+2 Max Health
Regen 1",+5% Speed,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,+2,,1,,,,,+5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,10,+5%,,11,5
,C'Zanil's Shroud,Valley,Rare,Chestplate,Leather Chestplate,White,,3,,Projectile Prot. 1,"-2 Max Health
Regen 2",,,,Unbreaking 3,,,,,,,,,,,,,,,,,,,,1,,,,,-2,,2,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,-10,,,11,5
,Phantom's Hood,Valley,Rare,Helmet,Player Head,White,,1,,"Projectile Prot. 1
Blast Prot. 1
Fire Prot. 1",,+10% Speed,+10% Proj Damage,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,+10%,,,,,,,+10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,,+10%,,11,5
,Quetzalcoatl's Wrath,Valley,Rare,Bow,Bow,White,,,,,,,,"13.0 Proj Damage
1.0 Proj Speed",Mending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,1.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,,,,11,5
,Serpensia Wrap,Valley,Rare,Leggings,Leather Leggings,White,,2.5,,"Projectile Prot. 3
Magic Prot. 2",,,,,Unbreaking 3,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,,,,11,5
,Soulskin Shield,Valley,Rare,Offhand Shield,Shield,White,,,,"Projectile Prot. 1
Feather Falling 1",,,+15% Attack Damage,,Unbreaking 1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,+15%,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,,,,11,5
,Spiritspark Flint,Valley,Rare,Axe,Stone Axe,White,,,,,,,,"9.0 Attack Damage
0.8 Attack Speed",Unbreaking 4,"Smite 3
Fire Aspect 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.8,,,,4,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,,,,11,5
,Stonegazer Eyes,Valley,Rare,Helmet,Leather Helmet,White,2.5,,,"Fire Prot. 2
Feather Falling 2",,,+1.0 Knockback Res.,,Unbreaking 3,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,+1.0,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,,,,11,5
,Zephyric Sandals,Valley,Rare,Boots,Leather Boots,White,,0.5,,Feather Falling 7,,+10% Speed,,,Unbreaking 7,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,+10%,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,,+10%,,11,5
,Offering's Hood,Valley,Uncommon,Helmet,Leather Helmet,White,2,,,"Projectile Prot. 2
Fire Prot. 2",,,,,Unbreaking 1,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,,,,7,5
,Offering's Robe (boots),Valley,Uncommon,Boots,Leather Boots,White,2,,,"Projectile Prot. 2
Fire Prot. 2",,,,,Unbreaking 1,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,,,,7,5
,Offering's Robe (chestplate),Valley,Uncommon,Chestplate,Leather Chestplate,White,2,,,"Projectile Prot. 2
Fire Prot. 2",,,,,Unbreaking 1,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,,,,7,5
,Offering's Robe (leggings),Valley,Uncommon,Leggings,Leather Leggings,White,2,,,"Projectile Prot. 2
Fire Prot. 2",,,,,Unbreaking 1,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,,,,7,5
,Sacrificial Blade,Valley,Uncommon,Mainhand Sword,Stone Sword,White,,,,,,,,"6.0 Attack Damage
1.6 Attack Speed",,Fire Aspect 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.6,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,,,,7,5
,Wings of the Whirlwind,Valley,Uncommon,Chestplate,Golden Chestplate,White,1,,,Feather Falling 5,,,,,Mending,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,,,,7,5
,Alchemic Caster,Valley,Uncommon,Wand,Stick,Labs,,,,,,,,"+20% Spell Power
2.5 Attack Damage
4.0 Attack Speed",,"Knockback 2
Decay 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+20%,2.5,4.0,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,,,,7,4
,Alchemical Apron,Valley,Uncommon,Chestplate,Leather Chestplate,Labs,,,,,+4 Max Health,-10% Speed,,,Unbreaking 4,,,,,,,,,,,,,,,,,,,,,,,,,+4,,,,,,,-10%,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,20,-10%,,7,4
,Asbestos Pants,Valley,Uncommon,Leggings,Leather Leggings,Labs,2,,,Fire Prot. 1,,,+2 Thorns,,Mending,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,+2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,,,,7,4
,Entomology Scalpal,Valley,Uncommon,Mainhand Sword,Stone Sword,Labs,,,,,,,,"5.5 Attack Damage
1.6 Attack Speed",Unbreaking 2,Slayer 1,,Efficiency 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,1.6,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,,,,7,4
,Lab Forceps,Valley,Uncommon,Pickaxe,Wooden Pickaxe,Labs,,,,,,,,"2.0 Attack Damage
1.2 Attack Speed",Unbreaking 5,Knockback 1,,Efficiency 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.2,,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,,,,7,4
,Medicine Stick,Valley,Uncommon,Scythe,Wooden Hoe,Labs,,,,,,,,"2.0 Attack Damage
3.0 Attack Speed",Unbreaking 3,Slayer 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,,,,7,4
,Rebel's Dagger,Valley,Uncommon,Offhand Sword,Wooden Sword,Labs,,,,,+2 Max Health,+5% Speed,+5% Attack Damage,,Unbreakable,,,,,,,,,,,,,,,,,,,,,,,,,+2,,,,,,,+5%,,,+5%,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,10,+5%,,7,4
,Syringe Sharpshooter,Valley,Uncommon,Crossbow,Crossbow,Labs,,,,,,+5% Speed,,"4.0 Proj Damage
1.0 Proj Speed",,,Quick Charge 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+5%,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,,+5%,,7,4
,Callum's Spellslinger,Valley,Rare,Crossbow,Crossbow,Valley Casino,,,,,,,,"8.0 Proj Damage
1.0 Proj Speed",Unbreaking 1,,Quick Charge 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,,,,11,3
,Earthbound Pants,Valley,Rare,Leggings,Leather Leggings,Valley Casino,3,,,Magic Prot. 1,+2 Max Health,,,,Unbreaking 3,,,,,,,,,,,,,,,,,,,,,1,,,,+2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,10,,,11,3
,Earthbound Runeblade,Valley,Rare,Mainhand Sword,Stone Sword,Valley Casino,2,,,,,,+1.0 Knockback Res.,"6.0 Attack Damage
1.6 Attack Speed",Unbreaking 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1.0,,,,6.0,1.6,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,,,,11,3
,Fading Echo,Valley,Rare,Helmet,Leather Helmet,Valley Casino,,4,,,,,+3.0 Knockback Res.,,Unbreaking 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+3.0,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,,,,11,3
,Flamekissed Runeblade,Valley,Rare,Offhand Sword,Stone Sword,Valley Casino,,,,Fire Prot. 3,,+15% Speed,+25% Attack Damage,,Unbreakable,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,+15%,,,+25%,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,,+15%,,11,3
,Flamekissed Tunic,Valley,Rare,Chestplate,Leather Chestplate,Valley Casino,,3,,Fire Prot. 2,,,"+10% Attack Damage
+8% Attack Speed",,Unbreaking 3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,+10%,,+8%,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,,,+8%,11,3
,Forest's Reaper,Valley,Rare,Scythe,Stone Hoe,Valley Casino,,,,,,,,"5.5 Attack Damage
2.0 Attack Speed",Unbreaking 4,Slayer 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,2.0,,,,4,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,,,,11,3
,Rubblebane,Valley,Rare,Pickaxe,Stone Pickaxe,Valley Casino,,,,,,+15% Speed,,"3.0 Attack Damage
1.2 Attack Speed",Unbreaking 1,"Fire Aspect 2
Knockback 2",,Efficiency 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+15%,,,,,,,,,,,,,3.0,1.2,,,,1,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,,+15%,,11,3
,Screamcaller,Valley,Rare,Bow,Bow,Valley Casino,,,Reflexes 1,,,,,"14.0 Proj Damage
0.5 Proj Speed",,Knockback 2,Fire Aspect 1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,0.5,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,,,,11,3
,Seasoaked Helmet,Valley,Rare,Helmet,Leather Helmet,Valley Casino,3,,,Melee Prot. 2,,-5% Speed,,,Unbreaking 3,,,,Respiration 2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,-5%,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,,-5%,,11,3
,Seasoaked Runeblade,Valley,Rare,Mainhand Sword,Stone Sword,Valley Casino,,,,,,-10% Speed,,"7.0 Attack Damage
1.6 Attack Speed",Unbreaking 3,Smite 1,,,Abyssal 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10%,,,,,,,,,,,,,7.0,1.6,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,,-10%,,11,3
,Staff of the Soulseeker,Valley,Rare,Wand,Stick,Valley Casino,,,,,,,+3.0 Knockback Res.,"+35% Spell Power
3.5 Attack Damage
4.0 Attack Speed",,"Smite 2
Ice Aspect 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+3.0,,,+35%,3.5,4.0,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,,,,11,3
,Stormborn Boots,Valley,Rare,Boots,Leather Boots,Valley Casino,,3,,"Projectile Prot. 1
Feather Falling 2",,+10% Speed,+50% Proj Speed,,Unbreaking 3,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,+10%,,,,,,,,+50%,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,,+10%,,11,3
,Stormborn Runeblade,Valley,Rare,Mainhand Sword,Stone Sword,Valley Casino,,,,,,+10% Speed,,"6.0 Attack Damage
2.0 Attack Speed",Unbreaking 3,Knockback 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+10%,,,,,,,,,,,,,6.0,2.0,,,,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,,+10%,,11,3
,Velara Crusher,Valley,Rare,Axe,Stone Axe,Valley Casino,,,,,,-8% Speed,,"15.0 Attack Damage
0.6 Attack Speed",Unbreaking 4,Knockback 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8%,,,,,,,,,,,,,15.0,0.6,,,,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,,-8%,,11,3
,Walls of Velara,Valley,Rare,Offhand Shield,Shield,Valley Casino,,,,Blast Prot. 3,,,+5.0 Knockback Res.,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,+5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,,,,11,3
,Amber Veil,Valley,Artifact,Chestplate,Chainmail Chestplate,Valley Overworld,3,,,Fire Prot. 3,,,"+15% Proj Damage
+10% Proj Speed",,Unbreaking 1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,+15%,+10%,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,,,,12,2
,Autumn Delicacy,Valley,Artifact,Consumable,Pumpkin Pie,Valley Overworld,,,,,,,,,,,,Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,,,,12,2
,Clearcut,Valley,Artifact,Axe,Golden Axe,Valley Overworld,,,,,,+15% Speed,,"7.0 Attack Damage
1.0 Attack Speed","Unbreaking 3
Mending",,,"Efficiency 2
Silk Touch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,+15%,,,,,,,,,,,,,7.0,1.0,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,,+15%,,12,2
,Experiencinator (u),Valley,Artifact,Misc,Nether Star,Valley Overworld,,,,,,,,,,,,,,,,,Convert tiered items to currency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,,,,12,2
,Heart of the Pyre,Valley,Artifact,Mainhand,Flint and Steel,Valley Overworld,,,,,Regen 1,,,,"Unbreaking 2
Mending","Fire Aspect 2
Knockback 2",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,,,,12,2
,Jungle's Vengaence,Valley,Artifact,Offhand Sword,Stone Sword,Valley Overworld,,3,,,,,"+25% Attack Damage
+0.10 Attack Speed",,Unbreakable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+25%,+0.10,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,,,+8%,12,2
